track_id,librosa,madmom_rnn,madmom_tcn,essentia
zavala.muniz.2014_53,3.5516934969928116,28.588708706985926,48.47973053500755,2.50388794898754
proyecto.1992_lobo_01,3.257134996005334,27.010432537004817,48.03527401998872,2.471059126983164
csic.1995_cuareim_02,6.228497010015417,47.61237985198386,84.48349219799275,4.3436973889765795
csic.1995_ansina1_02,3.5842085639887955,36.4341794429929,65.97155457301415,3.4108362729893997
zavala.muniz.2014_44,2.4249996400030795,24.233955445990432,44.04263226597686,2.286226288008038
zavala.muniz.2014_42,2.267483713978436,22.87605240099947,41.17227164900396,2.125288373994408
proyecto.1992_gimenez_02,3.8319023170042783,38.938687949994346,71.68295039300574,3.6867655150126666
zavala.muniz.2014_54,1.8579443690250628,18.730984987982083,34.06823881997843,1.768773677002173
csic.1995_cuareim_01,4.960773151979083,49.285546023980714,90.03546546999132,4.585441949981032
csic.1995_ansina2_03,3.47988295200048,35.63082587599638,65.02952103500138,3.340839894983219
proyecto.1992_pelado_01,2.895639679976739,29.012419581995346,54.886423888994614,2.750623847998213
proyecto.1992_magarinos_02,11.151568048982881,93.88194778401521,170.03949679198558,8.771385384985479
csic.1995_ansina1_04,3.7886519089806825,37.611949594982434,69.38585403899197,3.599522718024673
zavala.muniz.2014_52,2.3976845639990643,23.778117876994656,43.62930643002619,2.2363607340084855
zavala.muniz.2014_41,2.76013117399998,27.259233798016794,50.49867661902681,2.6409599339822307
csic.1995_cuareim_03,3.521949587011477,35.18030760102556,64.77436131201102,3.328807727986714
proyecto.1992_gimenez_06,2.578211651009042,25.445140427007573,47.242479826993076,2.4412523479841184
zavala.muniz.2014_49,1.939794167992659,18.92531275600777,35.05908552001347,1.795193970989203
zavala.muniz.2014_48,1.9755552489950787,19.56529115399462,35.774953562999144,1.8467688140226528
csic.1995_ansina2_04,4.704126135999104,47.66217521199724,87.98908229297376,4.507409138983348
zavala.muniz.2014_50,2.1772802690102253,21.355611794017022,39.24377555100364,2.0355222260113806
csic.1995_ansina1_05,3.590919911977835,36.1578084389912,66.866814323992,3.4527595049876254
proyecto.1992_pelado_05,2.5898404179897625,25.765332833019784,46.93106052701478,2.476584810006898
zavala.muniz.2014_45,2.2916437829844654,22.67166465500486,41.33449985200423,2.1432320729945786
csic.1995_cuareim_04,4.255199528008234,42.916388712008484,79.22534835498664,4.086881917988649
zavala.muniz.2014_55,3.1870708240021486,31.327037119015586,57.26176967800711,2.979115345980972
zavala.muniz.2014_47,2.300641957001062,22.744578498008195,41.54991400599829,2.1566944680234883
csic.1995_cuareim_05,3.6995502180070616,37.10672472199076,68.29447100800462,3.5619161909853574
zavala.muniz.2014_46,1.5023473709879909,15.234016248025,27.557689508976182,1.4414347749843728
zavala.muniz.2014_51,2.9941730109858327,29.573361643007956,54.40063072700286,2.8188692609837744
csic.1995_ansina1_03,3.7122434430057183,37.31054215898621,68.90042170701781,3.563297913002316
csic.1995_ansina2_01,3.9025465000013355,39.78580126201268,73.65674175001914,3.7564433880033903
proyecto.1992_lobo_06,2.280865084991092,22.65406364199589,41.52558553099516,2.137804983998649
csic.1995_ansina2_02,3.9722542579984292,40.17141389200697,74.08675810301793,3.7780461270012893
csic.1995_ansina1_01,3.1863635089830495,32.33315221400699,59.23547602898907,3.0622563759970944
classical.00000,0.4291632710082922,4.341627376008546,7.355072673002724,0.42475555901182815
classical.00001,0.41849333100253716,4.304600806004601,7.421743801998673,0.4161589540017303
classical.00002,0.41750233399216086,4.3100482919835486,7.374495318013942,0.4049064420105424
classical.00003,0.4173146730172448,4.35973824802204,7.414984053000808,0.40889455599244684
classical.00004,0.41872253399924375,4.356523182999808,7.406965825008228,0.40677917600260116
classical.00005,0.4138059619872365,4.330171962996246,7.451840477006044,0.4068622630147729
classical.00006,0.41993380000349134,4.328836499014869,7.35192623900366,0.4094110930163879
classical.00007,0.41491945600137115,4.3583685720223,7.430774709006073,0.4091259540000465
classical.00008,0.41784423499484546,4.299932922003791,7.360677607008256,0.41229928299435414
classical.00009,0.4201206919969991,4.340393884020159,7.403316854994046,0.40920721300062723
country.00000,0.4176746640005149,4.356788270990364,7.392357743985485,0.41097940399777144
country.00001,0.4179105100047309,4.348266040004091,7.384006979002152,0.4085927569831256
country.00002,0.42105694400379434,4.381217601010576,7.432893328979844,0.4099417760153301
