file,method,channels,num_channels,subband,f_score,p_score,cmlc,cmlt,amlc,amlt
../datasets/candombe/csic.1995_ansina2_02,spectrogram,"[0, 4, 8]",2,0,0.9093525179856116,0.9813486370157819,0.09612625538020086,0.9440459110473458,0.09612625538020086,0.9440459110473458
../datasets/candombe/csic.1995_ansina2_02,spectrogram,"[0, 4, 8]",2,1,0.0,0.2467718794835007,0.0,0.0,0.985632183908046,0.985632183908046
../datasets/candombe/csic.1995_ansina2_02,spectrogram,"[0, 6, 16]",2,0,0.6570605187319885,0.4935437589670014,0.0,0.0,0.9856733524355301,0.9856733524355301
../datasets/candombe/csic.1995_ansina2_02,spectrogram,"[0, 6, 16]",2,1,0.0,0.20086083213773315,0.0,0.0,0.985632183908046,0.985632183908046
../datasets/candombe/csic.1995_ansina2_02,spectrogram,"[0, 8, 16]",2,0,0.0,0.24820659971305595,0.0,0.0,0.985632183908046,0.985632183908046
../datasets/candombe/csic.1995_ansina2_02,spectrogram,"[0, 8, 16]",2,1,0.2741702741702742,0.4748923959827834,0.07747489239598278,0.266857962697274,0.07747489239598278,0.266857962697274
../datasets/candombe/csic.1995_ansina2_02,melspectrogram,"[0, 4, 8]",2,0,0.9741750358680057,0.9913916786226685,0.3500717360114778,0.9799139167862266,0.3500717360114778,0.9799139167862266
../datasets/candombe/csic.1995_ansina2_02,melspectrogram,"[0, 4, 8]",2,1,0.6545454545454545,0.49067431850789095,0.0,0.0,0.9742120343839542,0.9742120343839542
../datasets/candombe/csic.1995_ansina2_02,melspectrogram,"[0, 6, 16]",2,0,0.655831739961759,0.4921090387374462,0.0,0.0,0.9770773638968482,0.9770773638968482
../datasets/candombe/csic.1995_ansina2_02,melspectrogram,"[0, 6, 16]",2,1,0.41893830703012913,0.4763271162123386,0.13629842180774748,0.4117647058823529,0.13629842180774748,0.4117647058823529
../datasets/candombe/csic.1995_ansina2_02,melspectrogram,"[0, 8, 16]",2,0,0.655831739961759,0.4921090387374462,0.0,0.0,0.9770773638968482,0.9770773638968482
../datasets/candombe/csic.1995_ansina2_02,melspectrogram,"[0, 8, 16]",2,1,0.2467718794835007,0.33715925394548063,0.06456241032998565,0.23959827833572453,0.06456241032998565,0.23959827833572453
../datasets/candombe/proyecto.1992_pelado_01,spectrogram,"[0, 4, 8]",2,0,0.953464322647363,0.954639175257732,0.19381443298969073,0.9422680412371134,0.19381443298969073,0.9422680412371134
../datasets/candombe/proyecto.1992_pelado_01,spectrogram,"[0, 4, 8]",2,1,0.2792899408284024,0.3463917525773196,0.002061855670103093,0.004123711340206186,0.004132231404958678,0.006198347107438017
../datasets/candombe/proyecto.1992_pelado_01,spectrogram,"[0, 6, 16]",2,0,0.2850412249705536,0.35876288659793815,0.002061855670103093,0.004123711340206186,0.004132231404958678,0.008264462809917356
../datasets/candombe/proyecto.1992_pelado_01,spectrogram,"[0, 6, 16]",2,1,0.28773584905660377,0.30515463917525776,0.006185567010309278,0.01443298969072165,0.006185567010309278,0.01443298969072165
../datasets/candombe/proyecto.1992_pelado_01,spectrogram,"[0, 8, 16]",2,0,0.2792899408284024,0.3463917525773196,0.002061855670103093,0.004123711340206186,0.004132231404958678,0.006198347107438017
../datasets/candombe/proyecto.1992_pelado_01,spectrogram,"[0, 8, 16]",2,1,0.09297520661157024,0.15463917525773196,0.03917525773195876,0.08453608247422681,0.03917525773195876,0.08453608247422681
../datasets/candombe/proyecto.1992_pelado_01,melspectrogram,"[0, 4, 8]",2,0,0.2870588235294118,0.27628865979381445,0.002061855670103093,0.006185567010309278,0.002066115702479339,0.006185567010309278
../datasets/candombe/proyecto.1992_pelado_01,melspectrogram,"[0, 4, 8]",2,1,0.2860492379835873,0.25773195876288657,0.004123711340206186,0.012371134020618556,0.004132231404958678,0.012371134020618556
../datasets/candombe/proyecto.1992_pelado_01,melspectrogram,"[0, 6, 16]",2,0,0.28873239436619724,0.27422680412371137,0.004123711340206186,0.012371134020618556,0.004123711340206186,0.012371134020618556
../datasets/candombe/proyecto.1992_pelado_01,melspectrogram,"[0, 6, 16]",2,1,0.04732510288065843,0.06981519507186858,0.03696098562628337,0.04722792607802875,0.03696098562628337,0.04722792607802875
../datasets/candombe/proyecto.1992_pelado_01,melspectrogram,"[0, 8, 16]",2,0,0.28638497652582157,0.26804123711340205,0.004123711340206186,0.010309278350515464,0.004123711340206186,0.010309278350515464
../datasets/candombe/proyecto.1992_pelado_01,melspectrogram,"[0, 8, 16]",2,1,0.030864197530864196,0.0513347022587269,0.022587268993839837,0.03285420944558522,0.022587268993839837,0.03285420944558522
../datasets/candombe/zavala.muniz.2014_49,spectrogram,"[0, 4, 8]",2,0,0.995260663507109,0.9968454258675079,0.9779179810725552,0.9936908517350158,0.9779179810725552,0.9936908517350158
../datasets/candombe/zavala.muniz.2014_49,spectrogram,"[0, 4, 8]",2,1,0.8251968503937008,0.8490566037735849,0.1918238993710692,0.8081761006289309,0.1918238993710692,0.8081761006289309
../datasets/candombe/zavala.muniz.2014_49,spectrogram,"[0, 6, 16]",2,0,0.9747634069400631,0.9779179810725552,0.7066246056782335,0.9716088328075709,0.7066246056782335,0.9716088328075709
../datasets/candombe/zavala.muniz.2014_49,spectrogram,"[0, 6, 16]",2,1,0.35962145110410093,0.38485804416403785,0.07886435331230283,0.35646687697160884,0.07886435331230283,0.35646687697160884
../datasets/candombe/zavala.muniz.2014_49,spectrogram,"[0, 8, 16]",2,0,0.8710691823899371,0.8840125391849529,0.19435736677115986,0.8495297805642633,0.19435736677115986,0.8495297805642633
